Rating,Title,Original_Review,Language,Translated_Review,Cleaned_Review
4.4,Mind-blowing purchase,Very good Mobile Thank you flipcart,en,Very good Mobile Thank you flipcart,good mobile thank flipcart
,Perfect product!,Best budget phone,da,Best budget phone,best budget phone
,Worth the money,Nice photo And video 👌,en,Nice photo And video 👌,nice photo video
,Must buy!,Best phone,fr,Best phone,best phone
,Worth the money,First impressions is very good but i give review after few months of use....,en,First impressions is very good but i give review after few months of use....,first impression good give review month use
,Fabulous!,"Guys.... At this price range awesome.
My Honest reviews are -

1. Camera 4/5
2.display 5/5
3.performance 4/5
4. Sound 4.4/5
5. Design 5/5 according to me
6.battery life 5/5 superbbb❤
7.Gaming - no idea bcoz I don't play
8. Network connectivity 4/5
9. Charging🔋⚡- Average

I highly recommend for those who thinking to purchase curve display phone under 15k ... I aasure you that you will love it .
Signing off from Arunachal pradesh.",en,"Guys.... At this price range awesome.
My Honest reviews are -

1. Camera 4/5
2.display 5/5
3.performance 4/5
4. Sound 4.4/5
5. Design 5/5 according to me
6.battery life 5/5 superbbb❤
7.Gaming - no idea bcoz I don't play
8. Network connectivity 4/5
9. Charging🔋⚡- Average

I highly recommend for those who thinking to purchase curve display phone under 15k ... I aasure you that you will love it .
Signing off from Arunachal pradesh.",guy price range awesome honest review 1 camera 45 2display 55 3performance 45 4 sound 445 5 design 55 according 6battery life 55 superbbb 7gaming idea bcoz dont play 8 network connectivity 45 9 charging average highly recommend thinking purchase curve display phone 15k aasure love signing arunachal pradesh
,Terrific purchase,Everything about this phone is awesome. I was scared weather how it will perform but trust me it's beating to the high budget phones.,en,Everything about this phone is awesome. I was scared weather how it will perform but trust me it's beating to the high budget phones.,everything phone awesome scared weather perform trust beating high budget phone
,Value-for-money,Everything good in first day use ... But speaker is very low in this budget . For better speaker go with Samsung m35 ..,en,Everything good in first day use ... But speaker is very low in this budget . For better speaker go with Samsung m35 ..,everything good first day use speaker low budget better speaker go samsung m35
,Good choice,"I'm writing this after using 10 days. Camera is average, battery backup is good, display excellent, but the performance isn't realy good, if you are a bgmi player than please stay away from this phone, it is not for gaming. And yes this phone have heating issue while charging.",en,"I'm writing this after using 10 days. Camera is average, battery backup is good, display excellent, but the performance isn't realy good, if you are a bgmi player than please stay away from this phone, it is not for gaming. And yes this phone have heating issue while charging.",im writing using 10 day camera average battery backup good display excellent performance isnt realy good bgmi player please stay away phone gaming yes phone heating issue charging
,Fabulous!,"Price range, this phone very good 👍👍👍",en,"Price range, this phone very good 👍👍👍",price range phone good
4.4,Decent product,"Dnt buy battery backup is not good, within few day volume button out, within month power switch out. Dnt buy",en,"Dnt buy battery backup is not good, within few day volume button out, within month power switch out. Dnt buy",dnt buy battery backup good within day volume button within month power switch dnt buy
,Super!,"A very good phone under the budget ❤
Camera 5/5
Display 5/5
Performance 5/5
Battery and charging 5/5
All in one, so good. 😍
My suggestion is go for it 😇",en,"A very good phone under the budget ❤
Camera 5/5
Display 5/5
Performance 5/5
Battery and charging 5/5
All in one, so good. 😍
My suggestion is go for it 😇",good phone budget camera 55 display 55 performance 55 battery charging 55 one good suggestion go
,Terrific purchase,Super pH,id,Super pH,super ph
,Highly recommended,Best phine,de,Best phine,best phine
,Pretty good,Awesome mobile 👍,en,Awesome mobile 👍,awesome mobile
,Really Nice,"This is a very good phone, its camera quality is also very good, I am using it from last 1 week, till now I have not faced any problem",en,"This is a very good phone, its camera quality is also very good, I am using it from last 1 week, till now I have not faced any problem",good phone camera quality also good using last 1 week till faced problem
,Mind-blowing purchase,Best future photo 😁,fr,Best future photo 😁,best future photo
,Excellent,Very Nice phone,en,Very Nice phone,nice phone
,Wonderful,Very good product,en,Very good product,good product
,Excellent,Excellent performance. This got to be the most value for money mobile phone in 2025. Performs like a 25-30k segment device,en,Excellent performance. This got to be the most value for money mobile phone in 2025. Performs like a 25-30k segment device,excellent performance got value money mobile phone 2025 performs like 2530k segment device
4.4,Must buy!,Very fast processor and. Gud performance ever under this range,en,Very fast processor and. Gud performance ever under this range,fast processor gud performance ever range
,Perfect product!,I love inifinx,it,I love inifinx,love inifinx
,Terrific,good phone,cy,good phone,good phone
,Good,Value for money,en,Value for money,value money
,Terrific,Awesome product..,en,Awesome product..,awesome product
,Terrific,Camera decent battery good display exelent,en,Camera decent battery good display exelent,camera decent battery good display exelent
,Super!,Best phone in this price range.,en,Best phone in this price range.,best phone price range
,Mind-blowing purchase,I am very happy for this phone,en,I am very happy for this phone,happy phone
,Really Nice,"Such a great purchase value for money
good camera",en,"Such a great purchase value for money
good camera",great purchase value money good camera
4.4,Value-for-money,It Good 👍,en,It Good 👍,good
,Wonderful,See all Good👍,et,See all Good👍,see good
,Mind-blowing purchase,Nic,vi,Nic,nic
,Mind-blowing purchase,"Before buying this mobile I have gone through every review of this product and I was bit scared to buy it because I never used this brand any product but then I went on to buy it and it was my best purchase. Lovely mobile, camera just stands out while shooting videos. Screen is super smooth and glossy which makes it look more premium. Very slim though. Handle with care and it gives confidence. Love love ❤",en,"Before buying this mobile I have gone through every review of this product and I was bit scared to buy it because I never used this brand any product but then I went on to buy it and it was my best purchase. Lovely mobile, camera just stands out while shooting videos. Screen is super smooth and glossy which makes it look more premium. Very slim though. Handle with care and it gives confidence. Love love ❤",buying mobile gone every review product bit scared buy never used brand product went buy best purchase lovely mobile camera stand shooting video screen super smooth glossy make look premium slim though handle care give confidence love love
,Perfect product!,Value for mo,ca,Value for mo,value mo
,Must buy!,Great phone... At this budget with curved display😊... And premium looks🥵,en,Great phone... At this budget with curved display😊... And premium looks🥵,great phone budget curved display premium look
,Worth every penny,Nice product.....💕💕,ro,Nice product.....💕💕,nice product
,Terrific,Very nice,pl,Very nice,nice
,Great product,Perfect Machine in budget,en,Perfect Machine in budget,perfect machine budget
,Value-for-money,"Overall, a good phone in this price range.",en,"Overall, a good phone in this price range.",overall good phone price range
4.4,Just wow!,Perfect in budget,en,Perfect in budget,perfect budget
,Best in the market!,Awesome display and very good looking phone,en,Awesome display and very good looking phone,awesome display good looking phone
,Value-for-money,Good performance,en,Good performance,good performance
,Nice product,In this range it's a good phone,en,In this range it's a good phone,range good phone
,Pretty good,"This phone is fine in this range, the more money you spend the better the phone, thank you Flipkart 🫶🖤",en,"This phone is fine in this range, the more money you spend the better the phone, thank you Flipkart 🫶🖤",phone fine range money spend better phone thank flipkart
,Nice,Hang,tl,Hang,hang
,Super!,Best Camera All Rounder Mobile Expected Price,en,Best Camera All Rounder Mobile Expected Price,best camera rounder mobile expected price
,Terrific purchase,Is price range mein best hai ( slim phn),en,Is price range mein best hai ( slim phn),price range mein best hai slim phn
,Wonderful,this mobile is good in thia budgets,en,this mobile is good in thia budgets,mobile good thia budget
