Entity,Type
first,ORDINAL
month,DATE
1,CARDINAL
55,DATE
45 4,CARDINAL
445 5,CARDINAL
55,CARDINAL
6battery,CARDINAL
55,CARDINAL
8,CARDINAL
45 9,CARDINAL
15k,DATE
samsung,ORG
10 day,DATE
day,DATE
month,DATE
55,CARDINAL
55,CARDINAL
55,CARDINAL
55 one,CARDINAL
awesome mobile,ORG
last 1 week,DATE
2025,DATE
2530k,DATE
value mo,PERSON
rounder mobile,ORG
hai slim phn,ORG
15k,DATE
acodenig,PERSON
6gb,QUANTITY
128,CARDINAL
24 hour,TIME
hydrogel,ORG
nice mobile,ORG
awesome mobile superbb,ORG
6128,DATE
odisha mbj karanjia,ORG
15k,DATE
20 minute,TIME
5,CARDINAL
13 one year old,DATE
5,CARDINAL
app hang,PERSON
50 5,CARDINAL
15000,CARDINAL
45,CARDINAL
india,GPE
phone hank problem,ORG
1 week,DATE
2 month,DATE
one,CARDINAL
superb qualiy,PERSON
best mobile,ORG
6,CARDINAL
new mobile,ORG
one,CARDINAL
15k,CARDINAL
30min,CARDINAL
screencamera,PERSON
two,CARDINAL
one,CARDINAL
60,CARDINAL
50 5,CARDINAL
60,CARDINAL
10000,CARDINAL
1,CARDINAL
nic mobil,PERSON
4k,CARDINAL
one,CARDINAL
10 day,DATE
