review,vader_compound,vader_pos,vader_neg,vader_neu,textblob_polarity,sentiment
good mobile thank flipcart,0.6597,0.73,0.0,0.27,0.7,Positive
best budget phone,0.6369,0.677,0.0,0.323,1.0,Positive
nice photo video,0.4215,0.583,0.0,0.417,0.6,Positive
best phone,0.6369,0.808,0.0,0.192,1.0,Positive
first impression good give review month use,0.5859,0.49,0.0,0.51,0.475,Positive
guy price range awesome honest review 1 camera 45 2display 55 3performance 45 4 sound 445 5 design 55 according 6battery life 55 superbbb 7gaming idea bcoz dont play 8 network connectivity 45 9 charging average highly recommend thinking purchase curve display phone 15k aasure love signing arunachal pradesh,0.924,0.26,0.037,0.704,0.4183333333333334,Positive
everything phone awesome scared weather perform trust beating high budget phone,0.3612,0.365,0.291,0.345,0.58,Positive
everything good first day use speaker low budget better speaker go samsung m35,0.5719,0.324,0.117,0.559,0.3625,Positive
im writing using 10 day camera average battery backup good display excellent performance isnt realy good bgmi player please stay away phone gaming yes phone heating issue charging,0.926,0.387,0.0,0.613,0.5625,Positive
price range phone good,0.4404,0.492,0.0,0.508,0.7,Positive
dnt buy battery backup good within day volume button within month power switch dnt buy,0.4404,0.172,0.0,0.828,0.7,Positive
good phone budget camera 55 display 55 performance 55 battery charging 55 one good suggestion go,0.7003,0.293,0.0,0.707,0.7,Positive
super ph,0.5994,0.796,0.0,0.204,0.3333333333333333,Positive
best phine,0.6369,0.808,0.0,0.192,1.0,Positive
awesome mobile,0.6249,0.804,0.0,0.196,1.0,Positive
good phone camera quality also good using last 1 week till faced problem,0.4767,0.331,0.154,0.514,0.4666666666666666,Positive
best future photo,0.6369,0.677,0.0,0.323,0.5,Positive
nice phone,0.4215,0.737,0.0,0.263,0.6,Positive
good product,0.4404,0.744,0.0,0.256,0.7,Positive
excellent performance got value money mobile phone 2025 performs like 2530k segment device,0.8225,0.462,0.0,0.538,1.0,Positive
fast processor gud performance ever range,0.0,0.0,0.0,1.0,0.2,Neutral
love inifinx,0.6369,0.808,0.0,0.192,0.5,Positive
good phone,0.4404,0.744,0.0,0.256,0.7,Positive
value money,0.34,0.706,0.0,0.294,0.0,Positive
awesome product,0.6249,0.804,0.0,0.196,1.0,Positive
camera decent battery good display exelent,0.4404,0.367,0.0,0.633,0.4333333333333333,Positive
best phone price range,0.6369,0.583,0.0,0.417,1.0,Positive
happy phone,0.5719,0.787,0.0,0.213,0.8,Positive
great purchase value money good camera,0.8555,0.758,0.0,0.242,0.75,Positive
good,0.4404,1.0,0.0,0.0,0.7,Positive
see good,0.4404,0.744,0.0,0.256,0.7,Positive
nic,0.0,0.0,0.0,1.0,0.0,Neutral
buying mobile gone every review product bit scared buy never used brand product went buy best purchase lovely mobile camera stand shooting video screen super smooth glossy make look premium slim though handle care give confidence love love,0.9774,0.449,0.049,0.503,0.5388888888888889,Positive
value mo,0.34,0.706,0.0,0.294,0.0,Positive
great phone budget curved display premium look,0.6249,0.406,0.0,0.594,0.8,Positive
nice product,0.4215,0.737,0.0,0.263,0.6,Positive
nice,0.4215,1.0,0.0,0.0,0.6,Positive
perfect machine budget,0.5719,0.649,0.0,0.351,1.0,Positive
overall good phone price range,0.4404,0.42,0.0,0.58,0.35,Positive
perfect budget,0.5719,0.787,0.0,0.213,1.0,Positive
awesome display good looking phone,0.7906,0.7,0.0,0.3,0.85,Positive
good performance,0.4404,0.744,0.0,0.256,0.7,Positive
range good phone,0.4404,0.592,0.0,0.408,0.7,Positive
phone fine range money spend better phone thank flipkart,0.7351,0.545,0.0,0.455,0.45833333333333337,Positive
hang,0.0,0.0,0.0,1.0,0.0,Neutral
best camera rounder mobile expected price,0.6369,0.457,0.0,0.543,0.45,Positive
price range mein best hai slim phn,0.6369,0.412,0.0,0.588,1.0,Positive
mobile good thia budget,0.4404,0.492,0.0,0.508,0.7,Positive
best camera quality,0.6369,0.677,0.0,0.323,1.0,Positive
camera rest,0.0,0.0,0.0,1.0,0.0,Neutral
mobile camera good nice phone,0.6908,0.655,0.0,0.345,0.6499999999999999,Positive
good quality price,0.4404,0.592,0.0,0.408,0.7,Positive
worth money king 15k,0.2263,0.388,0.0,0.612,0.3,Positive
like worth,0.5267,1.0,0.0,0.0,0.3,Positive
good mobile,0.4404,0.744,0.0,0.256,0.7,Positive
osm price acodenig,0.0,0.0,0.0,1.0,0.0,Neutral
perfect,0.5719,1.0,0.0,0.0,1.0,Positive
nice camera quality,0.4215,0.583,0.0,0.417,0.6,Positive
dont thinking buy,0.0,0.0,0.0,1.0,0.0,Neutral
good pro,0.4404,0.744,0.0,0.256,0.7,Positive
osm design,0.0,0.0,0.0,1.0,0.0,Neutral
plzz provide ai eraser 6gb 128g variant,0.0,0.0,0.0,1.0,0.0,Neutral
loved price point phone mind blowing,0.5994,0.438,0.0,0.562,0.7,Positive
amazing mobile affordable,0.5859,0.655,0.0,0.345,0.6000000000000001,Positive
battery backup fast dain,0.0,0.0,0.0,1.0,0.2,Neutral
camera good phone good low price,0.5719,0.532,0.193,0.275,0.4666666666666666,Positive
great cemera great perfomers good phone segment,0.9022,0.735,0.0,0.265,0.7666666666666666,Positive
charger work,0.0,0.0,0.0,1.0,0.0,Neutral
smmoth display strong battery working 24 hour,0.5106,0.355,0.0,0.645,0.43333333333333335,Positive
