Target,Similar_Word,Cosine_Similarity
camera,quality,0.4408
camera,good,0.3243
camera,improvement,0.226
camera,rest,0.226
camera,ha,0.2066
battery,backup,0.6953
battery,fast,0.4084
battery,hour,0.3556
battery,performance,0.2998
battery,increase,0.2931
screen,clock,0.7
screen,enjoy,0.7
screen,speed,0.7
screen,extremely,0.4776
screen,hydrogel,0.448
performance,increase,0.3013
performance,battery,0.2998
performance,6128,0.2211
performance,superbb,0.2211
performance,ignore,0.2065
price,range,0.4423
price,low,0.3223
price,phone,0.3148
price,good,0.237
price,overroll,0.2089
