Rating,Title,Review
4.4,Mind-blowing purchase,Very good Mobile Thank you flipcart
,Perfect product!,Best budget phone
,Worth the money,Nice photo And video 👌
,Must buy!,Best phone
,Worth the money,First impressions is very good but i give review after few months of use....
,Fabulous!,"Guys.... At this price range awesome.
My Honest reviews are -

1. Camera 4/5
2.display 5/5
3.performance 4/5
4. Sound 4.4/5
5. Design 5/5 according to me
6.battery life 5/5 superbbb❤
7.Gaming - no idea bcoz I don't play
8. Network connectivity 4/5
9. Charging🔋⚡- Average

I highly recommend for those who thinking to purchase curve display phone under 15k ... I aasure you that you will love it .
Signing off from Arunachal pradesh."
,Terrific purchase,Everything about this phone is awesome. I was scared weather how it will perform but trust me it's beating to the high budget phones.
,Value-for-money,Everything good in first day use ... But speaker is very low in this budget . For better speaker go with Samsung m35 ..
,Good choice,"I'm writing this after using 10 days. Camera is average, battery backup is good, display excellent, but the performance isn't realy good, if you are a bgmi player than please stay away from this phone, it is not for gaming. And yes this phone have heating issue while charging."
,Fabulous!,"Price range, this phone very good 👍👍👍"
4.4,Decent product,"Dnt buy battery backup is not good, within few day volume button out, within month power switch out. Dnt buy"
,Super!,"A very good phone under the budget ❤
Camera 5/5
Display 5/5
Performance 5/5
Battery and charging 5/5
All in one, so good. 😍
My suggestion is go for it 😇"
,Terrific purchase,Super pH
,Highly recommended,Best phine
,Pretty good,Awesome mobile 👍
,Really Nice,"This is a very good phone, its camera quality is also very good, I am using it from last 1 week, till now I have not faced any problem"
,Mind-blowing purchase,Best future photo 😁
,Excellent,Very Nice phone
,Wonderful,Very good product
,Excellent,Excellent performance. This got to be the most value for money mobile phone in 2025. Performs like a 25-30k segment device
4.4,Must buy!,Very fast processor and. Gud performance ever under this range
,Perfect product!,I love inifinx
,Terrific,good phone
,Good,Value for money
,Excellent,Good phone
,Terrific,Awesome product..
,Terrific,Camera decent battery good display exelent
,Super!,Best phone in this price range.
,Mind-blowing purchase,I am very happy for this phone
,Really Nice,"Such a great purchase value for money
good camera"
4.4,Value-for-money,It Good 👍
,Wonderful,See all Good👍
,Mind-blowing purchase,Nic
,Mind-blowing purchase,"Before buying this mobile I have gone through every review of this product and I was bit scared to buy it because I never used this brand any product but then I went on to buy it and it was my best purchase. Lovely mobile, camera just stands out while shooting videos. Screen is super smooth and glossy which makes it look more premium. Very slim though. Handle with care and it gives confidence. Love love ❤"
,Perfect product!,Value for mo
,Must buy!,Great phone... At this budget with curved display😊... And premium looks🥵
,Worth every penny,Nice product.....💕💕
,Terrific,Very nice
,Great product,Perfect Machine in budget
,Value-for-money,"Overall, a good phone in this price range."
4.4,Just wow!,Perfect in budget
,Best in the market!,Awesome display and very good looking phone
,Value-for-money,Good performance
,Nice product,In this range it's a good phone
,Pretty good,"This phone is fine in this range, the more money you spend the better the phone, thank you Flipkart 🫶🖤"
,Nice,Hang
,Super!,Best Camera All Rounder Mobile Expected Price
,Good,Very nice👍
,Terrific purchase,Is price range mein best hai ( slim phn)
,Wonderful,this mobile is good in thia budgets
4.4,Worth the money,Best camera quality
,Must buy!,Good
,Mind-blowing purchase,Camera rest
,Great product,Very good phone
,Delightful,The mobile camera is very good. Nice phone
,Highly recommended,Very Good quality at this price.
,Best in the market!,Worth For Money King Of Under 15k💥
,Highly recommended,"Like it
Worth it"
,Best in the market!,Very good👍
,Perfect product!,Good mobile
4.4,Perfect product!,Osm price acodenig
,Mind-blowing purchase,Perfect
,Does the job,Nice camera quality 🩷
,Perfect product!,Nice
,Wonderful,Don't thinking just buy it
,Brilliant,Good pro
,Worth the money,Osm design
,Pretty good,Plzz provide ai eraser in 6gb 128g variant
,Worth the money,Just Loved It At This Price Point This Phone Is Just Mind Blowing 😊
,Value-for-money,Its amazing mobile and affordable
4.4,Perfect product!,Osm price acodenig
,Mind-blowing purchase,Perfect
,Does the job,Nice camera quality 🩷
,Perfect product!,Nice
,Wonderful,Don't thinking just buy it
,Brilliant,Good pro
,Worth the money,Osm design
,Pretty good,Plzz provide ai eraser in 6gb 128g variant
,Worth the money,Just Loved It At This Price Point This Phone Is Just Mind Blowing 😊
,Value-for-money,Its amazing mobile and affordable
4.4,Perfect product!,Osm price acodenig
,Mind-blowing purchase,Perfect
,Does the job,Nice camera quality 🩷
,Perfect product!,Nice
,Wonderful,Don't thinking just buy it
,Brilliant,Good pro
,Worth the money,Osm design
,Pretty good,Plzz provide ai eraser in 6gb 128g variant
,Worth the money,Just Loved It At This Price Point This Phone Is Just Mind Blowing 😊
,Value-for-money,Its amazing mobile and affordable
4.4,Value-for-money,Battery backup fast dain
,Worth the money,Camera is not good but phone is good in low price
,Wonderful,"Great cemera
Great perfomers
Good phone the segment"
,Not recommended at all,Charger is not work..
,Simply awesome,Smmoth display and very Strong battery working 24 hours
,Simply awesome,Nice and slim product good mobile
,Excellent,as per my opinion the phones design is awesome with curved edges
,Terrific,Best value for money
,Fabulous!,Best performance
,Best in the market!,This phone design and performance better but battery is low please increase battery performance
4.4,Terrific purchase,Looks like a premium phone in small price.
,Must buy!,Super
,Terrific,Low prices best phone
,Terrific,"The photo I posted has the matte hydrogel screen protector on it .😊
At this price there is no need for thinking of other choices. It's the best choice. 👍"
,Fabulous!,"Overall decent mobile at this price range, but battery and front camera has to be improved"
,Does the job,Nice product
,Must buy!,Very very perfect phone the best service
,Super!,Good product and good service
,Excellent,Very good camera quality
,Simply awesome,Very good👍 portrait
4.4,Wonderful,Nice mobile nice feature in this budget.
,Classy product,Looking premium and best performance good battery life fast charging 🔥😍
,Perfect product!,All rounder phone ❣️❣️
,Super!,It's a very good products. I like it so much.
,Highly recommended,Value for money
,Perfect product!,Thank you infinix and flipkart
,Fabulous!,Very good camera
